Player;Link
Bała Tomasz;https://fantasy.ekstraklasa.org/player/1405
Bainović Filip;https://fantasy.ekstraklasa.org/player/1191
Arsenić Zoran;https://fantasy.ekstraklasa.org/player/692
Awaed Mohammed;https://fantasy.ekstraklasa.org/player/1543
Alomerović Zlatan;https://fantasy.ekstraklasa.org/player/724
Antolić Domagoj;https://fantasy.ekstraklasa.org/player/785
Bajorek Bartosz;https://fantasy.ekstraklasa.org/player/1448
Alves Tiago;https://fantasy.ekstraklasa.org/player/1309
Baszłaj Dmytro;https://fantasy.ekstraklasa.org/player/1412
Balcewicz Filip;https://fantasy.ekstraklasa.org/player/1482
Bartl Daniel;https://fantasy.ekstraklasa.org/player/1262
Bargiel Przemysław;https://fantasy.ekstraklasa.org/player/289
Bielica Daniel;https://fantasy.ekstraklasa.org/player/1517
Abramowicz Dawid;https://fantasy.ekstraklasa.org/player/1524
Adamczyk Hubert;https://fantasy.ekstraklasa.org/player/15
Bartolewski Mateusz;https://fantasy.ekstraklasa.org/player/1505
